Ticker,Price,Change (%),52 week high,52 week low,P/E,Volume average,Industry,Shares,Entry Price,Date,Total Invested,Current Value,Gain/Loss %,Sector Weights
APPLE INC. (XNAS:AAPL),202.61,0.0004444,260.1,164.075,29.0868,75264809,"Computers, Phones & Household Electronics",2,229.59,45595,459.18,405.04,-11.79,1.68
"TESLA, INC. (XNAS:TSLA)",252.115,-0.0009312,488.5399,138.8025,124.0475,146294321,Automobiles & Auto Parts,2.5,257.55,45595,643.88,630.88,-2.02,2.61
NVIDIA CORPORATION (XNAS:NVDA),112.1099,0.012645,153.13,75.606,38.2786,323520302,Semiconductors & Semiconductor Equipment,3,139.31,45595,417.93,332.13,-20.53,1.38
PALANTIR TECHNOLOGIES INC. (XNAS:PLTR),98.4315,0.062746,125.41,20.33,489.742,110025122,Software & IT Services,1.75,43.72,45595,76.51,162.08,111.84,21.69
MICROSOFT CORPORATION (XNAS:MSFT),384.85,-0.007633,468.35,344.79,31.2386,26825875,Software & IT Services,3,430.8,45595,1292.4,1163.43,-9.98,21.69
ORACLE CORPORATION (XNYS:ORCL),134.085,-0.004122,198.3099,112.78,31.625,12595732,Software & IT Services,1,134.63,45595,134.63,134.61,-0.01,21.69
"SALESFORCE, INC. (XNYS:CRM)",254.6725,0.0004812,369,212,40.1169,7192573,Software & IT Services,2.3,295.76,45595,680.25,585.51,-13.93,21.69
"CISCO SYSTEMS, INC. (XNAS:CSCO)",57.3,-0.001916,66.5,44.5,25.1563,27775187,Communications & Networking,0.5,54.85,45595,27.42,28.7,4.67,0.12
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),241.07,0.008408,266.45,162.62,34.7025,5074748,Software & IT Services,2.9,201.95,45595,585.66,693.8,18.46,21.69
Canal+ SA (XLON:CAN),162.05,0.032166,299.9,149.95,#FIELD!,2331850,Media & Publishing,0.5,,45595,,78.5,,0.5
Vanguard InfoTch Idx;ETF (ARCX:VGT),525.53,0.003284,648.76,451,#FIELD!,960742,#FIELD!,0.5,600.83,45595,300.42,262,-12.79,0
Sel Sector:Tech SPDR (ARCX:XLK),200.775,0.003073,243.14,172.45,#FIELD!,7535623,#FIELD!,0.5,228.83,45595,114.42,100.08,-12.53,0
Vanguard Information Technology Index Fund;Admiral,268.32,0.006754,#FIELD!,#FIELD!,#FIELD!,#FIELD!,#FIELD!,0.5,,45595,,134.16,,0
